,경기 날짜,Team_A,Team_B,경기장소,경기시작시간,관중수
513,12. 15,흥국생명,현대건설,인천계양,16:00,"2,719"
514,12. 16,대한항공,OK저축은행,인천계양,14:00,"2,797"
515,12. 16,KGC인삼공사,GS칼텍스,대전충무,16:00,"2,645"
516,12. 17,현대캐피탈,우리카드,천안유관순,19:00,"2,814"
517,12. 18,한국전력,KB손해보험,수원,19:00,"1,342"
518,12. 19,한국도로공사,IBK기업은행,김천실내,19:00,"2,065"
519,12. 19,현대건설,GS칼텍스,수원,19:00,"1,284"
520,12. 20,OK저축은행,우리카드,안산상록수,19:00,"1,643"
521,12. 21,현대캐피탈,삼성화재,천안유관순,19:00,"3,212"
522,12. 22,대한항공,한국전력,인천계양,14:00,"1,920"
523,12. 22,IBK기업은행,현대건설,화성종합실내,16:00,"2,547"
524,12. 23,KB손해보험,우리카드,의정부,14:00,"2,979"
525,12. 23,한국도로공사,GS칼텍스,김천실내,16:00,"4,061"
526,12. 24,흥국생명,KGC인삼공사,인천계양,19:00,"1,960"
527,12. 24,삼성화재,OK저축은행,대전충무,19:00,"2,074"
528,12. 25,IBK기업은행,한국도로공사,화성종합실내,14:10,"5,108"
529,12. 25,한국전력,대한항공,수원,16:00,"4,106"
530,12. 26,현대건설,GS칼텍스,수원,19:00,"1,083"
531,12. 27,삼성화재,현대캐피탈,대전충무,19:00,"2,504"
532,12. 28,OK저축은행,우리카드,안산상록수,19:00,"1,333"
533,12. 29,대한항공,KB손해보험,인천계양,14:00,"2,298"
534,12. 29,한국도로공사,KGC인삼공사,김천실내,16:00,"3,344"
535,12. 30,현대캐피탈,한국전력,천안유관순,14:00,"4,017"
536,12. 30,현대건설,흥국생명,수원,16:00,"3,293"
537,12. 31,우리카드,삼성화재,서울장충,19:00,"3,951"
538,01. 01,KB손해보험,OK저축은행,의정부,14:00,"3,182"
539,01. 01,KGC인삼공사,IBK기업은행,대전충무,16:00,"2,834"
540,01. 02,흥국생명,GS칼텍스,인천계양,19:00,"1,756"
541,01. 02,현대건설,한국도로공사,수원,19:00,868
542,01. 03,우리카드,현대캐피탈,서울장충,19:00,"3,972"
543,01. 04,삼성화재,대한항공,대전충무,19:00,"2,912"
544,01. 05,KB손해보험,한국전력,의정부,14:00,"2,790"
545,01. 05,KGC인삼공사,현대건설,대전충무,16:00,"2,643"
546,01. 06,현대캐피탈,OK저축은행,천안유관순,14:00,"4,085"
547,01. 06,IBK기업은행,흥국생명,화성종합실내,16:00,"4,987"
548,01. 07,대한항공,우리카드,인천계양,19:00,"1,684"
549,01. 08,삼성화재,KB손해보험,대전충무,19:00,"1,304"
550,01. 09,흥국생명,한국도로공사,인천계양,19:00,"1,560"
551,01. 09,GS칼텍스,KGC인삼공사,서울장충,19:00,"1,991"
552,01. 10,현대캐피탈,대한항공,천안유관순,19:00,"5,043"
553,01. 11,OK저축은행,삼성화재,안산상록수,19:00,"1,838"
554,01. 12,한국전력,우리카드,수원,14:00,"2,157"
555,01. 12,GS칼텍스,한국도로공사,서울장충,16:00,"3,982"
556,01. 13,KB손해보험,현대캐피탈,의정부,14:00,"4,528"
557,01. 13,현대건설,IBK기업은행,수원,16:00,"2,633"
558,01. 14,대한항공,OK저축은행,인천계양,19:00,"1,849"
559,01. 15,한국전력,삼성화재,수원,19:00,804
560,01. 16,KGC인삼공사,흥국생명,대전충무,19:00,"2,654"
561,01. 16,IBK기업은행,GS칼텍스,화성종합실내,19:00,"1,954"
562,01. 17,우리카드,KB손해보험,서울장충,19:00,"4,010"
563,01. 18,한국전력,OK저축은행,수원,19:00,"1,199"
564,01. 19,,,,,
565,01. 20,,,,,
566,01. 21,,,,,
567,01. 22,,,,,
568,01. 23,,,,,
569,01. 24,흥국생명,KGC인삼공사,인천계양,19:00,"1,387"
570,01. 24,우리카드,한국전력,서울장충,19:00,"3,862"
571,01. 25,KB손해보험,대한항공,의정부,19:00,"2,354"
572,01. 26,삼성화재,OK저축은행,대전충무,14:05,"3,307"
573,01. 26,GS칼텍스,IBK기업은행,서울장충,16:00,"4,026"
574,01. 27,현대캐피탈,우리카드,천안유관순,14:00,"4,240"
575,01. 27,흥국생명,현대건설,인천계양,16:00,"3,005"
